,武将姓,武将名,統率,武勇,知略,内政,外政,戦闘,政治,合計,父親,姓読み,名読み,誕生年,登場年,没年,寿命,義理親,志,戦法,補佐,作戦,気質,野心,母親,武将姓名,列伝,父親有無,母親有無,志区分
499,木曾,義在,45,47,74,76,76,92,152,318,-,きそ,よしあり,1493年,1508年,1558年,66,-,所領拡大,激励,堅固,囮挑発,勲功,5,-,木曾義在,信濃木曾谷の豪族。温和な人柄で、父・義元の頃から対立状態にあった飛騨の三木家との関係修復に尽力、領内の治世安定に努めた。「風流太守」と呼ばれた。,0,0,0
500,木曾,義康,52,61,60,63,63,113,126,299,木曾義在,きそ,よしやす,1514年,1529年,1579年,66,-,家名存続,急襲,復帰,囮挑発,実利,6,-,木曾義康,信濃木曾谷の豪族。義在の嫡男。村上義清・小笠原長時・諏訪頼重とともに「信濃の四大将」と呼ばれた。武田信玄の攻撃に頑強に抵抗したが敗れ、降伏した。,1,0,0
501,木曾,義昌,57,59,63,52,57,116,109,288,木曾義康,きそ,よしまさ,1540年,1555年,1595年,56,-,領地保全,早駆け,猛攻,本陣斬込,家名,9,-,木曾義昌,信濃木曾谷の豪族。義康の嫡男。武田信玄の娘を娶る。のち織田信長に通じ、武田家滅亡の原因を作った。本能寺の変後は徳川家康に属し、下総に転封された。,1,0,0
502,山村,良候,37,45,66,63,66,82,129,277,-,やまむら,よしとき,1544年,1559年,1602年,59,-,家名存続,足止め,回避,神出鬼没,家名,6,-,山村良候,木曾家臣。良利の子。主家の転封後も木曾に残る。関ヶ原合戦では東軍に属し、西軍に捕まるが、のち解放。戦後、徳川家康から木曾福島の関所を預かった。,0,0,0
503,山村,良勝,40,46,59,69,65,86,134,279,山村良候,やまむら,よしかつ,1563年,1578年,1634年,72,-,所領拡大,気勢崩し,堅固,囮挑発,家名,3,-,山村良勝,木曾家臣。良候の子。関ヶ原合戦では東軍に属し、千村良重とともに木曾を平定する。また犬山城を攻略した。のちに尾張徳川家に仕え、大坂の陣に参加した。,1,0,0
504,三木,良頼,58,58,59,59,59,116,118,293,三木直頼,みつき,よしより,1516年,1531年,1572年,57,-,所領拡大,急襲,復帰,囮挑発,家名,9,-,三木良頼,飛騨の豪族。直頼の子。飛騨国司・姉小路家の名跡を継ぎ、姉小路姓を名乗る。上杉謙信に通じ、武田信玄と結んだ江馬家との間で軍事・外交戦を繰り広げた。,1,0,0
505,三木,自綱,65,60,74,64,71,125,135,334,三木良頼,みつき,よりつな,1540年,1555年,1587年,48,-,所領拡大,叱咤,伏兵,神出鬼没,勲功,10,-,三木自綱,飛騨の豪族。良頼の長男。近隣の豪族を討ち、飛騨の統一を果たす。本能寺の変後、佐々成政と結んで羽柴秀吉に対抗したが敗れ、京都に隠棲。同地で没した。,1,0,0
506,三木,顕綱,48,51,62,45,52,99,97,258,三木良頼,みつき,あきつな,1544年,1559年,1583年,40,-,所領拡大,臨戦,万全,囮挑発,勲功,9,-,三木顕綱,姉小路家臣。姉小路良頼の次男。養父・鍋山安室を毒殺して養母を追放し、鍋山城を乗っ取る。のちに兄・頼綱への謀叛を企てたため、妻とともに暗殺された。,1,0,0
507,三木,国綱,29,44,63,45,52,73,97,233,-,みつき,くにつな,1546年,1561年,1585年,40,-,所領拡大,足止め,回避,神出鬼没,勲功,11,-,三木国綱,姉小路家臣。主君・頼綱の妹を娶る。金森長近率いる飛騨侵攻軍に敗れ、捕縛されるが助命される。のち、長近の支配に不満を持ち謀叛を起こすが、敗死した。,0,0,0
508,内ヶ島,氏理,45,62,43,44,41,107,85,235,内ヶ島雅氏,うちがしま,うじまさ,1541年,1556年,1585年,45,-,領地保全,突撃,速攻,全軍突撃,実利,9,-,内ヶ島氏理,飛騨の豪族。帰雲城主。豊臣家臣・金森長近の飛騨侵攻軍に降るが、大地震により居城が埋没、山崩れによる洪水が起こり滅亡した。現代に埋蔵金伝説が残る。,1,0,0
509,江馬,時盛,38,46,48,52,48,84,100,232,江馬時経,えま,ときもり,1509年,1524年,1573年,65,-,所領拡大,臨戦,万全,囮挑発,実利,9,-,江馬時盛,飛騨の豪族。諏訪城主。三木家と争う。武田家と友好を結ぼうとするが、上杉家との関係構築を主張する嫡男・輝盛と対立し、輝盛の刺客によって殺された。,1,0,0
510,江馬,輝盛,52,56,67,58,63,108,121,296,江馬時盛,えま,てるもり,1535年,1550年,1582年,48,-,所領拡大,臨戦,万全,囮挑発,実利,13,-,江馬輝盛,飛騨の豪族。時盛の嫡男。意見を異にする父を殺し、弟・信盛を追放して江馬家を掌握した。本能寺の変に乗じて姉小路頼綱の打倒を企むが、逆に討たれた。,1,0,0
511,塩屋,秋貞,38,43,49,68,59,81,127,257,-,しおや,あきさだ,1521年,1536年,1583年,63,-,所領拡大,気勢崩し,堅固,囮挑発,実利,6,-,塩屋秋貞,飛騨の豪族。尾崎城主。上杉謙信に属して越中や飛騨で活躍、謙信から目代に任ぜられた。謙信の死後は織田信長に属したが、越中の豪族との戦いで戦死した。,0,0,0
512,長尾,景虎,98,100,83,61,73,198,134,415,長尾為景,ながお,かげとら,1530年,1545年,1578年,49,-,義戦,越後の龍,野襲,本陣斬込・車懸かり,仁義,5,-,長尾景虎,越後の戦国大名。為景の次男。上杉憲政から関東管領職を譲られ、上杉姓を名乗る。「毘」の軍旗を翻して疾駆する姿は軍神と恐れられた。通称「越後の龍」。,1,0,1
513,長尾,顕景,81,76,78,78,76,157,154,389,長尾政景,ながお,あきかげ,1555年,1570年,1623年,69,-,烈戦,采配,疾走,神出鬼没,仁義,5,-,長尾顕景,出羽米沢藩主。長尾政景の子。上杉謙信の養子となった。謙信の死後、御館の乱に勝利して家督を継いだ。関ヶ原合戦では西軍に属し、最上・伊達軍と戦った。,1,0,1
514,上杉,景虎,74,53,72,70,70,127,140,339,北条氏康,うえすぎ,かげとら,1554年,1569年,1579年,26,長尾景虎,家督継承,急襲,復帰,囮挑発,家名,11,-,上杉景虎,北条氏康の七男。越相同盟成立の際に越後に赴き、のちに上杉謙信の養子となった。謙信の死後、御館の乱において義弟の上杉景勝と家督を争うが、敗死した。,1,0,0
515,長尾,政景,82,74,83,72,72,156,144,383,長尾房長,ながお,まさかげ,1526年,1541年,1564年,39,-,所領拡大,逆撫で,地利,囮挑発,勲功,8,仙桃院,長尾政景,上杉家臣。房長の子。父とともに主家に敵対するが和睦し、主君・景虎の姉を娶った。その後は景虎を補佐して活躍するが、宇佐美定満と舟遊び中に溺死した。,1,1,0
516,長尾,景信,49,43,49,59,53,92,112,253,長尾房景,ながお,かげのぶ,1527年,1542年,1578年,52,-,家名存続,気勢崩し,堅固,囮挑発,家名,8,-,長尾景信,上杉家臣。主君・謙信が関東管領に就任した際、謙信とともに上杉姓に改める。一門衆の重鎮として各地を転戦した。御館の乱で上杉景虎方に属し、戦死した。,1,0,0
517,色部,勝長,76,71,52,56,53,147,109,308,-,いろべ,かつなが,1493年,1508年,1568年,76,-,領地保全,挟撃巧者,疾走,神出鬼没,実利,8,-,色部勝長,上杉家臣。平林城主。上条定憲の乱の際は一時上条方に属す。川中島合戦で活躍し、感状を授かった。謀叛を起こした本庄繁長の居城・村上城を攻囲中に病死。,0,0,0
518,色部,顕長,41,41,46,55,49,82,104,232,色部勝長,いろべ,あきなが,1549年,1564年,1587年,39,-,家名存続,用心,斥候,神出鬼没,実利,5,-,色部顕長,上杉家臣。平林城主。勝長の子。主君・謙信から名を授かった。父の死後、家督を継ぐ。本庄繁長の謀叛鎮圧で活躍し、以降、繁長より上位の席を与えられた。,1,0,0
519,色部,長実,64,65,47,50,45,129,95,271,色部勝長,いろべ,ながざね,1555年,1570年,1592年,38,-,所領拡大,急襲,猛攻,全軍突撃,才覚,7,-,色部長実,上杉家臣。平林城主。勝長の子。兄・顕長の死後、家督を継ぐ。出羽仙北一揆の鎮圧などで活躍した。豊臣秀吉の朝鮮派兵に従軍した際、大病を患い死去した。,1,0,0
520,大熊,朝秀,38,70,35,68,48,108,116,259,-,おおくま,ともひで,1517年,1532年,1582年,66,-,所領拡大,突撃,速攻,全軍突撃,勲功,11,-,大熊朝秀,長尾家臣。箕冠城主。主君・景虎の側近として政務に参画した。景虎の出家騒動に乗じて謀叛を起こすが敗れる。以後は武田家に仕え、甲斐天目山で戦死した。,0,0,0
521,柿崎,景家,87,94,82,63,82,181,145,408,-,かきざき,かげいえ,1513年,1528年,1575年,63,-,領地保全,越後二天,強撃,全軍突撃,勲功,8,-,柿崎景家,上杉家臣。主君・謙信に「越後七郡で彼にかなう者はなし」と評された家中随一の勇将。関東経略では北条家との越相同盟を成立させるなど外交でも活躍した。,0,0,0
522,河田,長親,73,44,77,84,76,117,160,354,-,かわだ,ながちか,1540年,1555年,1581年,42,-,家名存続,策士,強撃,神出鬼没,才覚,6,-,河田長親,上杉家臣。近江の出身。上杉謙信が上洛した際に召し出され、家臣となる。上杉家の北陸攻略に大きく貢献した。のちに松倉城主となり、織田信長軍と戦った。,0,0,0
523,北条,高広,79,81,69,46,45,160,91,320,-,きたじょう,たかひろ,1517年,1532年,1587年,71,-,所領拡大,急襲,猛攻,全軍突撃,実利,12,-,北条高広,上杉家臣。厩橋城主を務め、関東経略を担当するなど活躍した。武田信玄や北条氏康らの誘いに乗り、たびたび謀叛を起こすが、そのたびに許されて帰参した。,0,0,0
524,北条,景広,46,64,47,33,35,110,68,225,北条高広,きたじょう,かげひろ,1548年,1563年,1579年,32,-,家名存続,突撃,速攻,全軍突撃,実利,9,-,北条景広,上杉家臣。高広の子。父とともに厩橋城に在城し、主君・謙信の関東経略を助けた。御館の乱の際は上杉景虎方の中核を担うが、のちに上杉景勝に暗殺された。,1,0,0
525,斎藤,朝信,85,79,90,84,79,164,163,417,斎藤定信,さいとう,とものぶ,1527年,1542年,1591年,65,-,領地保全,奮闘,伏兵,神出鬼没,勲功,4,-,斎藤朝信,上杉家臣。川中島合戦や唐沢山城攻めなどで活躍し「越後の鐘馗」の異名をとった。御館の乱では上杉景勝に属す。私欲なく、行政にも優れた手腕を発揮した。,1,0,0
526,新発田,綱貞,42,47,72,71,73,89,144,305,-,しばた,つなさだ,1512年,1527年,1561年,50,-,家名存続,足止め,回避,神出鬼没,家名,9,-,新発田綱貞,上杉家臣。新発田・五十公野城主。伯耆守と称した。上条定憲が長尾為景と戦った乱の際は、はじめ長尾方に属したが、のちに上条方に転じて長尾軍と戦った。,0,0,0
527,新発田,長敦,56,61,69,66,69,117,135,321,新発田綱貞,しばた,ながあつ,1538年,1553年,1580年,43,-,所領拡大,急襲,復帰,囮挑発,勲功,7,-,新発田長敦,上杉家臣。新発田・五十公野城主。綱貞の子。上条定憲の乱が終息したあと、上条方国人の長尾家への帰参を斡旋した。御館の乱の際には上杉景勝に属した。,1,0,0
528,新発田,重家,78,82,78,47,56,160,103,341,新発田綱貞,しばた,しげいえ,1546年,1561年,1587年,42,-,領地保全,早駆け,猛攻,本陣斬込,勲功,10,-,新発田重家,上杉家臣。綱貞の子。御館の乱では上杉景勝に属して活躍した。しかし恩賞に不満を持ち、織田信長に通じて新発田城に籠城、謀叛を起こすが敗北、自害した。,1,0,0
529,直江,景綱,70,69,84,82,85,139,167,390,-,なおえ,かげつな,1509年,1524年,1577年,69,-,領地保全,太鼓持ち,万全,囮挑発,家名,5,-,直江景綱,上杉家臣。与板城主。主君・謙信の信頼厚く、側近として内政・外交に辣腕を振るう。のちに謙信の旧名・景虎から一字を拝領し、実綱から景綱へと改名した。,0,0,0
530,樋口,兼続,84,77,87,93,89,161,182,430,樋口兼豊,ひぐち,かねつぐ,1560年,1575年,1619年,60,-,所領拡大,直江状,参謀,神出鬼没,仁義,6,-,樋口兼続,上杉家臣。筆頭家老を務めた。豊臣秀吉の評価は高く、陪臣ながら出羽米沢３０万石を領した。関ヶ原合戦の際は西軍に属し、徳川家康に「直江状」を送った。,1,0,0
531,中条,藤資,67,72,68,52,60,139,112,319,-,なかじょう,ふじすけ,1480年,1495年,1574年,95,-,領地保全,突撃,速攻,全軍突撃,才覚,9,-,中条藤資,上杉家臣。主君・為景が関東管領・上杉顕定と戦った際は、為景に従い各地で活躍した。一時背くが、間もなく帰参。のち川中島合戦に従軍し、感状を受けた。,0,0,0
532,本庄,繁長,83,89,81,37,51,172,88,341,本庄房長,ほんじょう,しげなが,1539年,1551年,1613年,75,-,所領拡大,死兵,復帰,全軍突撃,家名,8,-,本庄繁長,上杉家臣。村上城主。叔父・小川長資を討って居城を奪回、家督を継ぐ。武田信玄と結んで謀叛を起こすが、許されて帰参する。以後は各地の合戦で活躍した。,1,0,0
533,本庄,実乃,46,46,74,72,74,92,146,312,-,ほんじょう,さねより,1511年,1526年,1580年,70,-,領地保全,足止め,回避,神出鬼没,家名,5,-,本庄実乃,上杉家臣。栃尾城主。主君・景虎の栃尾城入城以来、側近となる。景虎の初陣の際は補佐役として活躍した。のち景虎が当主になると、政権の中枢に参画した。,0,0,0
534,安田,景元,62,65,52,43,44,127,87,266,-,やすだ,かげもと,1514年,1529年,1563年,50,-,家名存続,突撃,速攻,全軍突撃,家名,7,-,安田景元,上杉家臣。安田城主。上条定憲の乱の際は長尾為景に従い活躍した。北条高広が主家に背いた際は、これを直江景綱に報じ、主君・謙信に従って高広と戦った。,0,0,0
535,安田,顕元,53,60,60,61,62,113,123,296,安田景元,やすだ,あきもと,1538年,1553年,1580年,43,-,所領拡大,急襲,復帰,囮挑発,家名,5,-,安田顕元,上杉家臣。安田城主。景元の子。武田家への備えとして飯山城主を務めた。御館の乱では上杉景勝を支持して活躍したがのちに恩賞問題のこじれから自害した。,1,0,0
536,安田,能元,47,54,62,71,68,101,139,302,安田景元,やすだ,よしもと,1557年,1572年,1622年,66,-,家名存続,気勢崩し,堅固,囮挑発,家名,7,-,安田能元,上杉家臣。安田城主。恩賞問題のこじれにより自害した兄・顕元の跡を継ぐ。主家の会津移封に従い、二本松城代となった。会津三奉行の１人に数えられた。,1,0,0
537,安田,長秀,58,68,57,48,51,126,99,282,-,やすだ,ながひで,1516年,1531年,1583年,68,-,領地保全,突撃,速攻,全軍突撃,才覚,5,-,安田長秀,上杉家臣。主君・謙信の側近を務めた。川中島合戦で活躍し「血染めの感状」を受けた。御館の乱では上杉景勝を支持した。新発田重家との交戦中に病死した。,0,0,0
538,宇佐美,定満,82,61,91,67,78,143,145,379,-,うさみ,さだみつ,1489年,1504年,1564年,76,-,領地保全,采配,参謀,軍師看破,才覚,11,-,宇佐美定満,上杉家臣。越後流軍学の祖という。上条定憲の乱の際は上条方に属すが、定憲の死後、帰参。国政に参画するなど活躍したが、長尾政景と舟遊び中に溺死した。,0,0,0
539,小島,弥太郎,46,92,30,23,23,138,46,214,-,こじま,やたろう,1522年,1537年,1582年,61,-,所領拡大,死兵,猛攻,全軍突撃,仁義,2,-,小島弥太郎,上杉家臣。幼少から側近として主君・謙信に仕えた。川中島合戦には旗本として従軍。剛力無双の豪傑で「鬼小島」と呼ばれて恐れられ、数々の伝説を残した。,0,0,0
540,甘粕,景継,74,70,38,39,33,144,72,254,-,あまかす,かげつぐ,1550年,1565年,1611年,62,-,所領拡大,用心,斥候,神出鬼没,才覚,6,-,甘粕景継,上杉家臣。酒田城主。主家の会津移封に従い、白石城代を務めた。関ヶ原合戦では抗戦を主張。のちに居城を空けた隙に伊達軍の攻撃により居城を失った。,0,0,0
541,岩井,信能,38,44,53,73,64,82,137,272,-,いわい,のぶよし,1553年,1568年,1620年,68,-,領地保全,気勢崩し,堅固,囮挑発,家名,6,-,岩井信能,上杉家臣。御館の乱では上杉景勝に属し飯山城主となる。城下町を整備して近世飯山町の基礎を築いた。主家の会津転封後は、会津三奉行の１人に数えられた。,0,0,0
542,春日,元忠,36,43,57,73,66,79,139,275,-,かすが,もとただ,1559年,1574年,1608年,50,-,家名存続,気勢崩し,堅固,囮挑発,勲功,5,-,春日元忠,上杉家臣。はじめ武田家に仕えた。直江兼続の側近となる。兼続の信頼は厚く、「直江被官の棟梁」と呼ばれた。軍事面においても最上家攻めなどで活躍した。,0,0,0
543,志駄,義秀,64,59,53,67,60,123,127,303,-,しだ,よしひで,1560年,1575年,1632年,73,-,所領拡大,逆撫で,地利,囮挑発,才覚,8,-,志駄義秀,上杉家臣。川中島合戦で父・義時の跡を継ぐ。酒田城主を務めた。関ヶ原合戦では最上家の背後を衝くなど活躍。のちに米沢藩の執事となり、藩政を統括した。,0,0,0
544,水原,親憲,76,77,43,31,31,153,62,258,-,すいばら,ちかのり,1546年,1561年,1616年,71,-,所領拡大,突撃,速攻,全軍突撃,勲功,5,-,水原親憲,上杉家臣。水原館主。御館の乱の際は上杉景勝を支持した。主家の会津移封後は猪苗代城代を務める。大坂の陣で戦功を立て、徳川秀忠から感状を下賜された。,0,0,0
545,平林,正恒,35,42,54,68,62,77,130,261,-,ひらばやし,まさつね,1550年,1565年,1622年,73,-,領地保全,気勢崩し,堅固,囮挑発,家名,8,-,平林正恒,武田家臣。主家滅亡の際、居城・牧之島城を失うが、のちに上杉景勝の後援を得て回復し、以後は上杉家に仕えた。主家の会津転封に従い、白河城代となった。,0,0,0
546,神保,長職,57,57,62,66,65,114,131,307,-,じんぼう,ながもと,1505年,1520年,1572年,68,-,家名存続,急襲,復帰,囮挑発,家名,10,-,神保長職,越中の豪族。富山城主。神保家を越中最大の勢力に築き上げるが、上杉謙信に敗れ、降伏した。のちに意見の対立により家中が分裂し、再び神保家は衰退した。,0,0,0
547,神保,長城,55,49,40,42,38,104,80,224,神保長職,じんぼう,ながなり,1537年,1552年,1583年,47,-,所領拡大,用心,斥候,神出鬼没,家名,9,-,神保長城,越中の豪族。父・長職が兄・長住を追放したあと家督を継ぐ。父の死後は家臣・小島職鎮に実権を握られた。長住が越中に戻ると、神保家の家督を返還した。,1,0,0
548,神保,氏張,45,50,47,55,49,95,104,246,-,じんぼう,うじはる,1528年,1543年,1592年,65,-,家名存続,臨戦,万全,囮挑発,才覚,8,-,神保氏張,越中の豪族。森山城主。はじめ上杉家に属すが、のちに織田家の佐々成政に仕える。成政の肥後移封に従い、国人一揆と戦った。成政の死後は徳川家に仕えた。,0,0,0
549,小島,職鎮,49,47,69,64,68,96,132,297,-,こじま,もとしげ,1523年,1538年,1587年,65,-,領地保全,足止め,回避,神出鬼没,勲功,11,-,小島職鎮,神保家臣。日宮城主。主君・長職とともに上杉家に属した。長職の死後は主家の実権を握る。のち越中に帰還した神保長住を幽閉し、主家滅亡の原因を作った。,0,0,0
550,寺島,職定,46,51,38,60,46,97,106,241,-,てらしま,もとさだ,1510年,1525年,1574年,65,-,家名存続,気勢崩し,堅固,囮挑発,家名,8,-,寺島職定,神保家臣。池田城主。椎名家との交渉を担当し、また民政などにも活躍した。主家内紛の際は神保長住とともに武田方に属し、上杉謙信の攻撃を受けて敗れた。,0,0,0
551,水越,勝重,42,43,51,68,60,85,128,264,-,みずこし,かつしげ,1513年,1528年,1577年,65,-,所領拡大,気勢崩し,堅固,囮挑発,才覚,6,-,水越勝重,神保家臣。富山城や滝山城の築城に携わった。主家衰退後は一向一揆とともに上杉謙信と戦うが敗れ、一揆勢の首謀者を捕らえて上杉軍に降伏し、助命された。,0,0,0
552,寺崎,盛永,56,53,42,36,35,109,71,222,寺崎行重,てらさき,もりなが,1545年,1560年,1581年,37,-,領地保全,用心,斥候,神出鬼没,勲功,9,-,寺崎盛永,越中の豪族。願海寺城主。早くから神保家に仕え、敵対勢力を討つなど活躍。のち織田家に属すが、上杉家に寝返ったため攻撃を受け敗北し、自害させられた。,1,0,0
553,畠山,義続,50,45,39,62,48,95,110,244,畠山義総,はたけやま,よしつぐ,1518年,1533年,1590年,73,-,領地保全,挟撃巧者,疾走,神出鬼没,家名,8,-,畠山義続,能登守護。義総の嫡男。相次ぐ内乱で権力を失い、重臣の台頭を許す。子・義綱と協力して実権を回復するが、のちに重臣たちに反発され、能登を追放された。,1,0,0
554,畠山,義綱,62,54,67,62,66,116,128,311,畠山義続,はたけやま,よしつな,1536年,1551年,1593年,58,-,家名存続,急襲,復帰,囮挑発,家名,6,-,畠山義綱,能登守護。義続の嫡男。父とともに実権の回復に尽力するが、重臣らに追放されて失敗に終わる。その後、何度も能登入国を試みるが、すべて失敗に終わった。,1,0,0
555,畠山,義慶,41,46,32,47,34,87,81,200,畠山義綱,はたけやま,よしのり,1556年,1566年,1574年,19,-,所領拡大,臨戦,万全,囮挑発,家名,6,-,畠山義慶,能登の戦国大名。義綱の嫡男。祖父・義続と父が追放されたあと、幼年で重臣たちに擁立される。のちに重臣たちの派閥闘争に巻き込まれ、何者かに殺された。,1,0,0
556,畠山,義隆,48,52,51,47,46,100,93,244,畠山義綱,はたけやま,よしたか,1557年,1572年,1576年,20,-,家督継承,臨戦,万全,囮挑発,家名,6,-,畠山義隆,能登の戦国大名。義綱の子。兄・義慶が当主となると、二本松伊賀守と名乗って義慶を補佐した。義慶の死後、畠山家の家督を相続するが、間もなく急死した。,1,0,0
557,畠山,政繁,65,67,53,59,55,132,114,299,畠山義続,はたけやま,まさしげ,1545年,1560年,1643年,99,-,領地保全,突撃,速攻,全軍突撃,勲功,7,-,畠山政繁,上杉家臣。畠山義続の次男。上杉謙信の養子となり上条家を継ぐ。上野・越中などを転戦した。謙信の死後、上杉景勝と対立して出奔、以後は徳川家に仕えた。,1,0,0
558,長,続連,58,50,69,61,66,108,127,304,-,ちょう,つぐつら,1518年,1533年,1577年,60,-,家名存続,叱咤,伏兵,神出鬼没,家名,11,-,長続連,畠山家臣。畠山七人衆に名を連ねた。温井・三宅一党の叛乱鎮圧に活躍し、重臣筆頭として畠山家の実権を握る。のちに織田信長に通じ、上杉謙信に討たれた。,0,0,0
559,長,連龍,55,55,61,56,58,110,114,285,長続連,ちょう,つらたつ,1546年,1561年,1619年,74,-,所領拡大,急襲,復帰,囮挑発,家名,6,-,長連龍,畠山家臣。続連の次男。父と兄・綱連の死後、還俗して家督を継いだ。織田信長に従属して福水城主となり、旧領を回復した。のちに前田利家の与力となった。,1,0,0
560,温井,総貞,44,40,74,61,69,84,130,288,-,ぬくい,ふささだ,1491年,1506年,1555年,65,-,領地保全,叱咤,伏兵,神出鬼没,実利,14,-,温井総貞,畠山家臣。和歌に造詣深く、主君・義総の寵愛を得る。遊佐家を倒して主家の実権を握り、領内の動揺を招く。のちに権力奪回を目指す主君・義綱に殺された。,0,0,0
561,温井,景隆,47,43,68,54,61,90,115,273,温井続宗,ぬくい,かげたか,1533年,1548年,1582年,50,-,領地保全,足止め,回避,神出鬼没,実利,11,-,温井景隆,畠山家臣。続宗の子。祖父・総貞の死後に逐電するが、主君・義綱の追放後に帰参。のち織田家に属す。本能寺の変後、所領回復を狙って挙兵するが敗死した。,1,0,0
562,遊佐,続光,48,51,72,64,70,99,134,305,遊佐秀頼,ゆさ,つぐみつ,1527年,1542年,1581年,55,-,家名存続,足止め,回避,神出鬼没,実利,13,-,遊佐続光,畠山家臣。温井家との政争に敗れて出奔するが、和睦して帰参する。のちに上杉家に通じて能登を治めるが、織田家の台頭により逐電し、捕縛され斬首された。,1,0,0
563,遊佐,盛光,33,33,60,48,53,66,101,227,遊佐続光,ゆさ,もりみつ,1547年,1562年,1581年,35,-,所領拡大,臨戦,万全,囮挑発,実利,10,-,遊佐盛光,畠山家臣。続光の子。年寄衆として政権に参画。上杉家に通じて長家を追い落とす。織田家の勢力が及ぶと長家の攻撃を受け逐電するが、捕縛され斬首された。,1,0,0
564,三善,一守,51,53,48,41,41,104,82,234,-,みよし,かずもり,1547年,1562年,1615年,69,-,所領拡大,臨戦,万全,囮挑発,家名,8,-,三善一守,畠山家臣。池田城主。上杉謙信の能登侵攻軍に降る。謙信の死後は佐々成政に属し、成政の肥後移封にも従った。成政の死後は能登羽咋郡に移住し、隠棲した。,0,0,0
565,朝倉,義景,37,39,42,58,48,76,106,224,朝倉孝景,あさくら,よしかげ,1533年,1548年,1573年,41,-,第二の京,気勢崩し,堅固,囮挑発,芸道,13,-,朝倉義景,朝倉家５代当主。孝景の嫡男。将軍・足利義昭と結び織田信長包囲網の一角を担うが、次第に勢威を失う。刀禰坂合戦で敗北を喫し、一族に背かれて自害した。,1,0,1
566,朝倉,景鏡,60,51,70,46,57,111,103,284,朝倉景高,あさくら,かげあきら,1525年,1540年,1574年,50,-,家名存続,叱咤,伏兵,神出鬼没,勲功,12,-,朝倉景鏡,朝倉家臣。景高の子。織田信長追撃の総大将を務めた。主君・義景が刀禰坂合戦に敗れたあとは信長に内応し、義景を自害させた。のち一向一揆勢に討たれた。,1,0,0
567,朝倉,宗滴,93,90,90,74,83,183,157,430,-,あさくら,そうてき,1477年,1492年,1555年,79,-,所領拡大,勝事本候,強撃,神出鬼没,野心,6,-,朝倉宗滴,朝倉家臣。朝倉家初代当主・敏景の子。軍奉行を務め、周辺諸国へ出兵し朝倉家の武威を内外に知らしめた。加賀一向一揆討伐の際に発病、帰国後に死去した。,0,0,0
568,朝倉,景紀,64,59,56,56,56,123,112,291,朝倉貞景,あさくら,かげのり,1503年,1518年,1572年,70,朝倉宗滴,領地保全,用心,斥候,神出鬼没,才覚,7,-,朝倉景紀,朝倉家臣。朝倉家３代当主・貞景の子。朝倉宗滴の養子となる。敦賀城主を務め養父とともに加賀や若狭、近畿などを転戦し活躍した。のち敦賀郡司となった。,1,0,0
569,朝倉,景隆,55,61,45,49,44,116,93,254,-,あさくら,かげたか,1494年,1509年,1571年,78,-,領地保全,突撃,速攻,全軍突撃,家名,6,-,朝倉景隆,朝倉家臣。朝倉敏景の弟・経景の孫。朝倉宗滴が病で帰国したあと、一向一揆討伐の大将として加賀に出陣した。のち３人の子を相次いで失い、間もなく死去。,0,0,0
570,朝倉,景健,63,65,42,36,35,128,71,241,朝倉景隆,あさくら,かげたけ,1536年,1551年,1575年,40,-,家名存続,突撃,速攻,全軍突撃,勲功,11,-,朝倉景健,朝倉家臣。景隆の子。姉川合戦では朝倉軍の総大将として奮戦。主家滅亡後は織田信長に属すが、一向一揆に降伏したため、信長の怒りを買い自害させられた。,1,0,0
571,魚住,景固,29,34,42,65,52,63,117,222,-,うおずみ,かげかた,1531年,1546年,1574年,44,-,所領拡大,気勢崩し,堅固,囮挑発,才覚,8,-,魚住景固,朝倉家臣。一乗谷四奉行の１人として国政に参画した。織田信長の越前侵攻軍に降り、本領を安堵され越前守護代となるが、富田長繁の攻撃を受けて敗死した。,0,0,0
572,河合,吉統,40,41,60,68,65,81,133,274,-,かわい,よしむね,1521年,1536年,1573年,53,-,領地保全,気勢崩し,堅固,囮挑発,実利,2,-,河合吉統,朝倉家臣。一乗谷四奉行の１人として国政に参画したほか、浅井家救援のために近江に出陣するなど活躍した。刀禰坂合戦において、織田軍に討たれたという。,0,0,0
573,富田,景政,53,76,33,29,26,129,55,217,-,とだ,かげまさ,1525年,1540年,1594年,70,-,領地保全,奥義一閃,野襲,全軍突撃,芸道,5,-,富田景政,朝倉家臣。富田流剣術の始祖。勢源と号した。主家滅亡後は前田家に仕え、数々の合戦で活躍した。隠居後は七尾城の守将となり、豊臣秀次に剣術を指南した。,0,0,0
574,富田,重政,51,80,52,30,35,131,65,248,-,とだ,しげまさ,1554年,1569年,1625年,72,富田景政,家名存続,奥義一閃,野襲,全軍突撃,芸道,3,-,富田重政,前田家臣。景政の婿養子。「名人越後」の異名をとった富田流剣術の剣豪。末森城の戦いで一番槍の功を立てたほか、関ヶ原合戦や大坂の陣などでも活躍した。,0,0,0
575,前波,吉継,29,38,63,54,58,67,112,242,-,まえば,よしつぐ,1541年,1556年,1574年,34,-,所領拡大,足止め,回避,神出鬼没,才覚,8,-,前波吉継,朝倉家臣。織田信長の越前侵攻軍にいち早く降り、道案内を担当した。この功によって越前守護代となるが、これを不服とした富田長繁に攻められ、敗死した。,0,0,0
